latent_dimension,item_dimension,sample_size,key,method,early_runtime,late_runtime,early_steps,late_steps,early_l_optimal,early_l_estimated,late_l_optimal,late_l_estimated,rmse_early_A,rmse_early_delta,rmse_early_sigma,rmse_late_A,rmse_late_delta,rmse_psi,rmse_late_sigma,rmse_theta,rmse_gain_estimated,rmse_gain_pred_train
2,20,100,2022-11-14 20:34:45.662622,difference,8.7,11.15,7.0,8.0,-846.42,-827.85,-912.22,-843.9,0.7946855922260551,0.7605973458152578,0.3395526763257801,1.2549845497402383,1.5353836528916622,0.2877255021335512,0.0809137503342861,0.6204935514204398,0.8645019247247202,0.9484064229066989
2,20,100,2022-11-14 20:34:45.662622,real_early,,112.98,,12.0,,,-889.49,-847.71,,,,1.766886361382925,1.4597093194655424,0.3372454373301438,0.1515133409967583,0.0,0.605031327625167,0.8278547032533364
2,20,100,2022-11-14 20:34:45.662622,pure_competency,7.57,55.11,7.0,8.0,-849.36,-830.21,-890.47,-859.45,0.6461104519968023,0.8164098346458388,0.1985555841571825,1.5497975336108512,0.8993021393273012,0.4941891836982888,0.2960546945034384,0.6123582287689291,0.8039435898179518,1.0446146453337513
2,20,100,2022-11-14 20:34:45.662622,real_parameters,,,,,,,-910.26,-912.47,,,,0.0,0.0,0.0,0.0,0.5587169794670126,0.4258412265609269,0.6466194501113928
3,20,100,2022-11-14 20:42:00.281985,late_em,9.73,202.25,7.0,8.0,-929.77,-894.61,-1022.29,-986.16,0.9071407419679618,0.4067004966185309,0.2447042727683992,1.6199279542956375,1.6329924680185837,0.3688548088340451,0.2338520448678798,0.5509081001001735,0.7535857680109916,0.9622346264632964
3,20,100,2022-11-14 20:42:00.281985,initial,0.0,0.0,0.0,0.0,-928.42,-965.86,-1022.49,-1268.23,1.2379857053137382,0.4719480425107523,0.2522431851298354,1.3081371510035644,2.0692717144569386,0.2566467876500914,0.2572251002958736,0.6123228086473697,0.9594954800032642,0.8940203473944088
3,20,100,2022-11-14 20:42:00.281985,difference,9.99,10.03,7.0,7.0,-930.03,-895.85,-1021.01,-983.59,0.9435141855493868,0.4144637465578228,0.2210040421953107,0.848296411861905,0.6969366710370026,0.2590950655462912,0.1989475076521733,0.5555631773161995,0.8493349406853682,0.9018548645564064
3,20,100,2022-11-14 20:42:00.281985,real_early,,227.85,,8.0,,,-1111.11,-1058.97,,,,1.428145955096391,1.2523635051351538,0.3769129887800513,0.1901917482729235,0.0,0.7387797498645806,0.9883284119960232
3,20,100,2022-11-14 20:42:00.281985,pure_competency,9.09,181.93,7.0,10.0,-927.41,-894.83,-1062.22,-1007.69,0.8533262219797566,0.478055467984056,0.176017555942582,2.3635476111094498,1.4010756777570328,0.2570893973939789,0.2589870475282009,0.5625651623156119,0.7379207097866327,0.8944296511278366
3,20,100,2022-11-14 20:42:00.281985,real_parameters,,,,,,,-1006.55,-1004.09,,,,0.0,0.0,0.0,0.0,0.5270642767502536,0.8732741050042484,0.7721538589903689
2,10,200,2022-11-14 20:53:15.243413,late_em,3.63,81.57,6.0,8.0,-998.86,-989.29,-899.96,-871.57,0.8281390350541866,0.3225619594820464,0.0443356233744378,1.273338800502538,0.3399642835662786,0.3259387289046823,0.3908071327394115,0.5582014660937028,0.69195349843602,0.8717574017686456
2,10,200,2022-11-14 20:53:15.243413,initial,0.0,0.0,0.0,0.0,-999.37,-1045.34,-947.97,-1038.52,1.6729856090820474,0.3803316224147507,0.1016819551346255,1.8613300754251985,1.3494010355438029,0.4426366964001064,0.3307342966793737,0.5781383726036092,0.6635852630267345,0.9191927996779796
2,10,200,2022-11-14 20:53:15.243413,difference,4.29,5.27,7.0,8.0,-1000.12,-986.77,-887.16,-890.27,0.6787039470369582,0.3690210768163162,0.0214253354699523,0.7674242637954601,0.4364636684297381,0.398089807155153,0.2608581887040059,0.5587993777039313,0.8428457499706864,0.8654823263481081
2,10,200,2022-11-14 20:53:15.243413,real_early,,79.06,,8.0,,,-1074.15,-994.27,,,,1.1121525810920716,0.6814976956457188,0.4485728591878916,0.2306019676845798,0.0,0.8123389329111459,0.988099672133356
2,10,200,2022-11-14 20:53:15.243413,pure_competency,4.41,84.24,7.0,9.0,-998.68,-989.35,-1029.04,-951.84,0.7983317054322977,0.3638262545299377,0.4552353457278993,1.636950037196358,0.8445010697500024,0.4174831347811985,0.1511451828770785,0.697629977974193,0.7547576961204556,0.911037354871521
2,10,200,2022-11-14 20:53:15.243413,real_parameters,,,,,,,-919.65,-925.42,,,,0.0,0.0,0.0,0.0,0.568574778642976,0.5609094788255685,0.7325652209915303
3,10,200,2022-11-14 20:58:05.753278,late_em,4.59,353.26,6.0,8.0,-939.89,-929.61,-1285.66,-1187.54,0.8674970169873849,0.3742003122694234,0.3114599992151658,1.2279725733161369,0.5774330561083622,0.3050355899089664,0.3816232944788472,0.6849273659286432,0.8202667005350122,1.0585387714330534
3,10,200,2022-11-14 20:58:05.753278,initial,0.0,0.0,0.0,0.0,-939.38,-987.89,-1349.55,-1636.64,1.2919337636614847,0.7786705371274746,0.2215383438093229,1.334033501372347,1.521306907823797,0.2778908038940635,0.2959570839759636,0.6862777974883298,0.8246713106262458,1.0453969408573396
3,10,200,2022-11-14 20:58:05.753278,difference,4.78,5.01,7.0,7.0,-938.14,-929.23,-1234.27,-1239.66,0.84543489413354,0.3737862619948321,0.3295834728191866,0.9130786798952788,0.8500577638192583,0.3764805070024592,0.3286587953701669,0.6837144595288253,1.0330482747571752,1.088479474648457
3,10,200,2022-11-14 20:58:05.753278,real_early,,299.76,,8.0,,,-1446.87,-1397.75,,,,0.7173768542855231,1.755740428907069,0.374393982916986,0.2683805093105268,0.0,0.8378581582825129,1.0831695874733316
3,10,200,2022-11-14 20:58:05.753278,pure_competency,6.57,215.93,8.0,10.0,-939.55,-936.52,-1360.41,-1314.04,0.6201311652731635,0.3673592920638883,0.2848612020694367,0.911449270332876,2.4267262151673146,0.2804758922420056,0.3055557306217584,0.7271120185942739,0.8440615632403516,1.04773979977671
3,10,200,2022-11-14 20:58:05.753278,real_parameters,,,,,,,-1302.39,-1311.49,,,,0.0,0.0,0.0,0.0,0.6666071475005995,0.5460548642226807,0.8548792644233832
2,20,200,2022-11-14 21:13:35.555050,late_em,10.2,101.77,7.0,7.0,-1691.25,-1673.84,-1541.32,-1544.5,0.5504427032233484,0.345615117954963,0.2447296620763408,0.9158643518278432,0.952271923087641,0.3354381015925293,0.2408110410674726,0.5407022143518203,0.6321004436059795,0.945833620204942
2,20,200,2022-11-14 21:13:35.555050,initial,0.0,0.0,0.0,0.0,-1693.02,-1843.82,-1743.14,-2067.18,1.4897141066674904,0.7364402433023488,0.0600333657227378,1.5351674742996742,1.6803458009374326,0.3329901837892522,0.1743745107520018,0.5966533291160266,0.6626710824555805,0.9440460799600504
2,20,200,2022-11-14 21:13:35.555050,difference,8.16,12.96,6.0,8.0,-1691.1,-1677.61,-1552.62,-1545.03,0.6296122291700301,0.39845448461798,0.2506693589172796,0.8127750280594424,0.5248288076766143,0.3986700709768066,0.2374986780599938,0.5530111164326567,0.9132816173317454,0.9803990559501709
2,20,200,2022-11-14 21:13:35.555050,real_early,,139.07,,8.0,,,-1692.11,-1655.96,,,,0.9633517208255288,0.4917938660437678,0.4179126762853694,0.088380484271133,0.0,0.6440468568774705,1.0044056695218109
2,20,200,2022-11-14 21:13:35.555050,pure_competency,11.0,218.7,8.0,12.0,-1691.91,-1679.33,-1652.09,-1610.64,0.4837964700576626,0.3191627425331988,0.2935200248705359,0.8257966313966277,0.6382497643061306,0.3327667269833704,0.172659776291121,0.5509510428191962,0.6951130292714627,0.943088826191512
2,20,200,2022-11-14 21:13:35.555050,real_parameters,,,,,,,-1607.92,-1613.14,,,,0.0,0.0,0.0,0.0,0.4889325807104559,0.4896085979079524,0.8295609978088618
3,20,200,2022-11-14 21:22:29.857752,late_em,10.47,524.99,6.0,8.0,-1920.24,-1910.77,-1985.75,-1899.32,0.8374544691054253,0.298894032188053,0.1989867304341897,1.5817003168568575,0.948895963487552,0.3475873063786356,0.2265086213713631,0.5576252947978665,0.8214907926414222,1.1240232765183045
3,20,200,2022-11-14 21:22:29.857752,initial,0.0,0.0,0.0,0.0,-1918.65,-2041.18,-1939.21,-2497.95,1.2208537020949497,0.6559421733821875,0.2613121122336276,1.73858839744466,1.611693357283323,0.2595825045465635,0.3020124795066882,0.6146026062696824,0.888557788964696,1.072776221308376
3,20,200,2022-11-14 21:22:29.857752,difference,10.4,15.73,6.0,8.0,-1919.56,-1918.98,-1929.48,-1902.01,0.8734873898423635,0.3540895359925523,0.2400560073538395,1.093084882838901,0.7929769958119823,0.2417861544583266,0.2193357011585188,0.5666659502336903,1.0399054028809864,1.0965149875498823
3,20,200,2022-11-14 21:22:29.857752,real_early,,729.38,,11.0,,,-2065.6,-2001.09,,,,1.1680959536675424,1.1802798187390136,0.3805940648804474,0.210379741314499,0.0,0.8172816715490445,1.1461420290621112
3,20,200,2022-11-14 21:22:29.857752,pure_competency,9.41,565.23,6.0,11.0,-1915.9,-1911.27,-2011.5,-1945.18,0.6817341597252433,0.2975649781536604,0.1855790277901992,1.2421598544795205,2.1946660610227067,0.2593720634171402,0.3012884004341541,0.5759410997181108,0.8160879387372947,1.0734542373731086
3,20,200,2022-11-14 21:22:29.857752,real_parameters,,,,,,,-1965.19,-1956.59,,,,0.0,0.0,0.0,0.0,0.541281256792993,0.6607612010224386,0.9675536570233052
2,10,30,2022-11-14 21:54:19.997988,late_em,3.79,25.62,8.0,9.0,-146.97,-135.83,-149.83,-131.48,1.843069795323012,1.95337650415422,0.0769332177930963,7.577471353396949,4.955675148052708,0.2433711466053443,0.3472389271092745,0.5519186942845834,0.7725922973015986,0.9509699138916456
2,10,30,2022-11-14 21:54:19.997988,initial,0.0,0.0,0.0,0.0,-147.06,-151.72,-152.13,-172.04,1.508696167311414,0.3341068176831016,0.086408448660996,1.5866370722784722,1.5455480597264932,0.3552347568862033,0.8088973420651102,0.5527442559331273,1.00314245320127,0.974993921971076
2,10,30,2022-11-14 21:54:19.997988,difference,4.06,5.53,7.0,8.0,-146.88,-135.48,-141.52,-134.78,1.646593794343454,1.958398737370871,0.0707813887967734,3.354977853803648,3.3781230836442395,0.3259457329572501,0.4944618440201124,0.5579560200863742,0.8348365432423792,0.9682742191332764
2,10,30,2022-11-14 21:54:19.997988,real_early,,32.32,,11.0,,,-160.36,-145.89,,,,7.3034443628399535,3.996227066988197,0.2600021442219275,0.3299873141501049,0.0,0.7322525210113457,0.8990603031845724
2,10,30,2022-11-14 21:54:19.997988,pure_competency,4.89,25.66,9.0,10.0,-147.19,-135.78,-155.82,-144.85,2.288546659733924,2.130572217727707,0.4399618392542698,6.203694672275792,6.686951220551909,0.2053730506017761,0.5641456723701058,0.7396701443812568,0.8249481483975653,0.9339293969414192
2,10,30,2022-11-14 21:54:19.997988,real_parameters,,,,,,,-145.0,-145.84,,,,0.0,0.0,0.0,0.0,0.5356234742721503,0.5968046769395599,0.8249340818994894
3,10,30,2022-11-14 21:56:08.451866,late_em,4.22,60.96,7.0,9.0,-172.9,-161.63,-198.95,-176.49,1.0508511188015146,0.8569398414474834,0.3164606417515104,3.2973609019422225,1.8984395327268235,0.3509183238304891,0.2832663057972127,0.7761443911328674,0.8441004391666503,0.9816762340546122
3,10,30,2022-11-14 21:56:08.451866,initial,0.0,0.0,0.0,0.0,-173.19,-173.59,-191.28,-269.27,1.1753714346829869,0.6884986198651692,0.3835212466952341,1.3769913170883443,2.329762606711041,0.2804965497906247,0.33515270483103,0.8359707236540506,0.9620583367978855,0.9429693155835732
3,10,30,2022-11-14 21:56:08.451866,difference,3.93,5.74,7.0,8.0,-173.05,-161.01,-196.64,-188.97,1.0748812076992182,0.8977197987059398,0.3130174347291927,1.3376674654528715,1.5253355710530283,0.2673771137100752,0.2981327311421629,0.7864757100807264,0.9383421562468236,0.9473965235367412
3,10,30,2022-11-14 21:56:08.451866,real_early,,48.57,,8.0,,,-243.16,-221.28,,,,2.3745224227707857,3.398523074524023,0.3946230170118762,0.1291352391874503,0.0,0.8210740360756971,1.081463600251388
3,10,30,2022-11-14 21:56:08.451866,pure_competency,3.9,43.2,7.0,11.0,-172.72,-161.01,-200.71,-182.7,1.2195243926037855,0.8421228810679361,0.0349554001550547,4.447779798580491,3.89893036006548,0.2308681453825946,0.1039926919902216,0.7283433195844836,0.7818407754634117,0.9288567296821838
3,10,30,2022-11-14 21:56:08.451866,real_parameters,,,,,,,-199.02,-202.67,,,,0.0,0.0,0.0,0.0,0.687447676171218,0.6913996703839902,0.8678561545665541
2,20,30,2022-11-14 21:59:07.856946,late_em,7.26,54.47,7.0,12.0,-259.31,-233.83,-298.45,-276.74,2.912777615319509,0.846277640946483,0.0816001225489275,4.743509592880468,2.6240742186746178,0.1324799796195636,0.1122239167913863,0.499142534301911,0.7789061778689123,1.140806204628444
2,20,30,2022-11-14 21:59:07.856946,initial,0.0,0.0,0.0,0.0,-258.86,-268.94,-305.64,-333.17,0.9895038954617068,0.6994103665734597,0.0782060099992321,1.4653195881570027,1.529947525391679,0.3719391818563889,0.7897134765217065,0.5479097947206923,0.9815950621566356,1.137785662378434
2,20,30,2022-11-14 21:59:07.856946,difference,9.4,9.74,8.0,8.0,-259.48,-230.51,-280.22,-260.36,3.4526181643599805,0.7986071360037613,0.1069145453154059,2.037233174996304,1.8808092038238755,0.4576912264725407,0.1278155296652366,0.4760850169448543,1.1246592056461482,1.2182814398408164
2,20,30,2022-11-14 21:59:07.856946,real_early,,71.75,,15.0,,,-284.71,-262.83,,,,6.079598715811862,2.8224661499119543,0.2212637905306695,0.0848429578692303,0.0,0.6001797545619869,0.994060823187188
2,20,30,2022-11-14 21:59:07.856946,pure_competency,8.01,110.98,8.0,21.0,-259.2,-232.75,-292.59,-272.21,3.400604044224028,0.8385267094542428,0.4317594005925059,11.558461044280968,4.806062601728763,0.1531224910245543,0.4050658514738794,0.4613506990678919,0.8697276461674215,1.150292254061198
2,20,30,2022-11-14 21:59:07.856946,real_parameters,,,,,,,-290.48,-290.29,,,,0.0,0.0,0.0,0.0,0.4473728368962767,0.5695881071243581,0.9920148205847128
3,20,30,2022-11-14 22:03:46.717972,late_em,6.85,102.75,6.0,11.0,-291.54,-263.78,-298.84,-263.25,1.0539062637943517,1.415613241897185,0.1232424530031036,6.9496125156370985,6.095611407486649,0.3147936484605608,0.3710412271193353,0.5598922661893152,0.8265130790851731,0.9947882106658016
3,20,30,2022-11-14 22:03:46.717972,initial,0.0,0.0,0.0,0.0,-292.44,-288.59,-325.26,-423.11,1.3439952004536793,0.7223021035347597,0.1395534704373599,1.3379531271344725,2.397545984649057,0.5167102433236209,0.5601537041047057,0.5469637925514264,1.0613282858920312,1.099989054324264
3,20,30,2022-11-14 22:03:46.717972,difference,6.51,10.8,6.0,8.0,-291.63,-264.12,-331.67,-299.32,1.1482695629212625,1.3404011612703108,0.1428685487510187,4.212248903733943,4.29913929398982,0.3060822416706335,0.2385488974757005,0.5925148351261154,0.9089100680010695,0.9674511063779012
3,20,30,2022-11-14 22:03:46.717972,real_early,,70.15,,8.0,,,-348.35,-315.22,,,,2.902172066194437,3.5812656796266182,0.5167102433236209,0.5601537041047057,0.0,0.9669510060092203,1.099989054324264
3,20,30,2022-11-14 22:03:46.717972,pure_competency,7.29,58.7,7.0,10.0,-291.6,-264.06,-318.28,-269.01,1.1689011657241335,1.421271350037658,0.4325475619320184,6.07002648143752,4.417095627758577,0.3535961503087393,0.4114096593790918,0.6664376950494724,0.8060713933006912,0.9720912789101696
3,20,30,2022-11-14 22:03:46.717972,real_parameters,,,,,,,-302.42,-301.89,,,,0.0,0.0,0.0,0.0,0.5174277782973001,0.6508416786309401,0.7118630463406818
2,10,100,2022-11-14 22:08:18.577728,late_em,5.52,38.56,9.0,8.0,-511.43,-505.96,-593.26,-546.46,0.8978084394887085,0.4331972004860512,0.1835649203960277,0.5757074485664562,0.9688243202991638,0.4046348106626516,0.1994691893501349,0.5666734120559497,0.7837417306184729,0.9357167203258278
2,10,100,2022-11-14 22:08:18.577728,initial,0.0,0.0,0.0,0.0,-510.71,-548.17,-591.54,-665.0,1.3368249083517074,0.485816724181816,0.3535533905932738,1.515259653685733,2.121252044354576,0.275628111093553,0.3038213002736971,0.6667270559484856,0.9188114460794038,0.8765945863469727
2,10,100,2022-11-14 22:08:18.577728,difference,5.05,4.16,8.0,7.0,-510.75,-505.13,-597.19,-578.73,0.8340060778335697,0.3927335947276438,0.2003233635899717,0.5486015121350359,0.4732170267417564,0.2610091873776216,0.216238983173804,0.569722536768092,0.7463794284141438,0.8322183927668335
2,10,100,2022-11-14 22:08:18.577728,real_early,,37.56,,8.0,,,-637.99,-583.52,,,,0.712687477668862,0.7319115088207725,0.3821964220136029,0.1555870736918719,0.0,0.7746792884563765,0.9125089855711622
2,10,100,2022-11-14 22:08:18.577728,pure_competency,4.55,30.11,8.0,8.0,-510.54,-503.56,-607.59,-556.94,0.7716093845280323,0.3532452612322098,0.0,0.5979630201856988,1.3195518849407273,0.2706515865445901,0.2853648282399481,0.5254263937887235,0.7429077123969721,0.8528817589210337
2,10,100,2022-11-14 22:08:18.577728,real_parameters,,,,,,,-585.43,-586.38,,,,0.0,0.0,0.0,0.0,0.5192050980475309,0.3944198958947256,0.7401556066600704
